YardCraneScheduling
number of cranes
1
number of containers
40
number of rows
10
number of columns
42
number of tiers
4
number of I/O land
6
number of I/O sea
10
gantry speed
1
trolley speed
1
hoisting speed
1
reshuffling time
2
Crane Initial Position
3	1	5
I/O Land information
#x,y,z
2	43	2
3	43	2
4	43	2
5	43	2
6	43	2
7	43	2
I/O Sea information
#x,y,z
1	0	1
2	0	1
3	0	1
4	0	1
5	0	1
6	0	1
7	0	1
8	0	1
9	0	1
10	0	1
Containers requests information
#Containers requests information, one line per container
#Type	TypeLoc	x	y	z	RS	rj	dj	ej	wj	wcongj
3	O	8	20	1	0	-1	654	-1	1	1
4	O	5	17	4	0	-1	-1	386	1	1
2	D	1	36	4	0	16	-1	-1	1	1
3	O	6	6	2	1	-1	631	-1	1	1
3	O	3	12	3	0	-1	22	-1	1	1
2	D	6	14	3	0	117	-1	-1	1	1
4	O	5	40	3	0	-1	-1	174	1	1
3	O	2	4	2	0	-1	134	-1	1	1
2	D	8	9	1	0	79	-1	-1	1	1
2	D	5	12	4	0	87	-1	-1	1	1
2	D	5	41	3	0	77	-1	-1	1	1
2	D	8	2	1	0	14	-1	-1	1	1
3	O	7	3	2	0	-1	321	-1	1	1
3	O	3	42	4	0	-1	516	-1	1	1
1	D	8	35	4	0	45	-1	-1	1	1
2	D	5	25	1	0	161	-1	-1	1	1
2	D	1	30	3	0	153	-1	-1	1	1
2	D	8	39	1	0	15	-1	-1	1	1
3	O	4	38	2	0	-1	103	-1	1	1
4	O	3	28	2	0	-1	-1	340	1	1
4	O	4	30	1	0	-1	-1	625	1	1
3	O	1	26	4	0	-1	153	-1	1	1
4	O	10	17	4	0	-1	-1	525	1	1
4	O	1	2	1	0	-1	-1	409	1	1
3	O	9	19	1	0	-1	39	-1	1	1
1	D	9	17	3	0	41	-1	-1	1	1
2	D	1	10	3	0	106	-1	-1	1	1
3	O	9	11	2	0	-1	268	-1	1	1
4	O	7	34	4	0	-1	-1	451	1	1
1	D	1	12	4	0	51	-1	-1	1	1
4	O	10	32	1	0	-1	-1	21	1	1
2	D	10	15	4	0	81	-1	-1	1	1
1	D	1	40	4	0	51	-1	-1	1	1
4	O	5	6	2	0	-1	-1	182	1	1
4	O	1	37	2	1	-1	-1	628	1	1
4	O	1	20	4	0	-1	-1	661	1	1
4	O	9	39	2	0	-1	-1	355	1	1
3	O	3	16	3	0	-1	397	-1	1	1
2	D	8	34	2	0	137	-1	-1	1	1
4	O	9	28	4	0	-1	-1	324	1	1
