YardCraneScheduling
number of cranes
1
number of containers
50
number of rows
10
number of columns
42
number of tiers
4
number of I/O land
6
number of I/O sea
10
gantry speed
1
trolley speed
1
hoisting speed
1
reshuffling time
2
Crane Initial Position
9	34	5
I/O Land information
#x,y,z
2	43	2
3	43	2
4	43	2
5	43	2
6	43	2
7	43	2
I/O Sea information
#x,y,z
1	0	1
2	0	1
3	0	1
4	0	1
5	0	1
6	0	1
7	0	1
8	0	1
9	0	1
10	0	1
Containers requests information
#Containers requests information, one line per container
#Type	TypeLoc	x	y	z	RS	rj	dj	ej	wj	wcongj
4	O	10	29	1	1	-1	-1	567	1	1
4	O	1	18	1	0	-1	-1	94	1	1
2	D	5	22	4	0	130	-1	-1	1	1
3	O	10	2	3	0	-1	370	-1	3	3
3	O	4	9	3	0	-1	596	-1	3	3
1	D	6	28	2	0	124	-1	-1	3	3
3	O	9	14	1	0	-1	824	-1	3	3
1	D	10	23	4	0	49	-1	-1	3	3
1	D	1	32	1	0	186	-1	-1	3	3
4	O	4	23	4	0	-1	-1	163	1	1
4	O	4	35	4	0	-1	-1	737	1	1
2	D	6	42	4	0	146	-1	-1	1	1
1	D	7	36	3	0	170	-1	-1	3	3
3	O	7	1	2	0	-1	741	-1	3	3
1	D	1	26	4	0	77	-1	-1	3	3
1	D	10	40	1	0	65	-1	-1	3	3
3	O	10	14	2	0	-1	190	-1	3	3
1	D	3	4	2	0	208	-1	-1	3	3
2	D	5	36	2	0	120	-1	-1	1	1
3	O	7	39	4	0	-1	68	-1	3	3
2	D	1	36	3	0	97	-1	-1	1	1
3	O	3	40	3	0	-1	297	-1	3	3
1	D	6	27	1	0	22	-1	-1	3	3
2	D	10	9	3	0	157	-1	-1	1	1
4	O	4	36	4	0	-1	-1	482	1	1
1	D	6	3	2	0	24	-1	-1	3	3
1	D	10	22	2	0	119	-1	-1	3	3
2	D	4	20	1	0	193	-1	-1	1	1
4	O	1	24	2	0	-1	-1	110	1	1
3	O	5	16	2	1	-1	497	-1	3	3
1	D	4	10	4	0	124	-1	-1	3	3
3	O	3	19	4	0	-1	210	-1	3	3
1	D	4	11	4	0	14	-1	-1	3	3
1	D	6	13	3	0	154	-1	-1	3	3
2	D	8	8	3	0	1	-1	-1	1	1
1	D	2	7	4	0	61	-1	-1	3	3
2	D	2	25	1	0	38	-1	-1	1	1
2	D	8	29	3	0	168	-1	-1	1	1
4	O	1	22	1	1	-1	-1	649	1	1
3	O	5	31	2	0	-1	248	-1	3	3
2	D	1	4	4	0	30	-1	-1	1	1
4	O	6	1	4	0	-1	-1	243	1	1
4	O	7	23	1	0	-1	-1	37	1	1
3	O	9	3	2	0	-1	345	-1	3	3
3	O	7	4	3	0	-1	780	-1	3	3
2	D	3	38	2	0	56	-1	-1	1	1
1	D	3	30	4	0	154	-1	-1	3	3
4	O	4	24	3	0	-1	-1	832	1	1
1	D	8	25	2	0	83	-1	-1	3	3
2	D	9	20	2	0	207	-1	-1	1	1
